,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,local_lat,local_long,dest_lat,dest_long,time arround car,time arround walk,time arround bike,length arround car,length arround walk,length arround bike,time bridge one walk,time bridge one bike,length bridge two walk,length bridge two bike,location type,destination type,time bridge two walk,time bridge two bike,length bridge one walk,length bridge one bike
33,33,33,33,39.073,-77.13080556,39.07508333,-77.11530556,251.1,1188.9,358.8,1652.2,1651.3,1771.4,2716.1,1066.1,4350.0,4661.4,house block,twinbrooke center restaurant,3132.0,1135.0,3772.3999999999996,3982.6000000000004
34,34,34,34,39.073,-77.13080556,39.07508333,-77.11530556,251.1,1188.9,358.8,1652.2,1651.3,1771.4,2716.1,1066.1,4350.0,4661.4,house block,twinbrooke center groceries,3132.0,1135.0,3772.3999999999996,3982.6000000000004
35,35,35,35,39.073,-77.13080556,39.06461111,-77.1395,424.2,1601.9,484.9,2262.6,2224.9,2332.6,1595.5,705.2,3072.5,3118.2,house block,golf,2212.2,700.9,2216.0,2216.9
36,36,36,36,39.073,-77.13080556,39.06436111,-77.12802778,269.7,1411.4,476.7,2020.3,1960.3,2209.8,1403.7,697.0,1796.6000000000001,1814.1000000000001,house block,mall,1293.6,442.79999999999995,1949.5,2094.1000000000004
37,37,37,37,39.073,-77.13080556,39.06236111,-77.12625,287.9,1600.0,603.1,2290.6,2222.3,2434.3,1592.3,774.0999999999999,1972.3000000000002,2199.3,house block,mall,1420.1,519.8,2211.5,2479.3
38,38,38,38,39.073,-77.13080556,39.05755556,-77.12277778,350.3,1830.1,642.2,2976.9,2541.8,2551.9,2050.5,940.0,2608.7,3029.1000000000004,house block,mall,1878.3,685.8,2847.9,3309.1000000000004
39,39,39,39,39.073,-77.13080556,39.05441667,-77.11891667,367.2,2050.3,703.0,3319.2,2847.7,2899.5,2340.4,1095.6,3011.3,3772.5,house block,mall,2168.2,841.3,3250.5,4052.6000000000004
40,40,40,40,39.073,-77.13080556,39.05738889,-77.11919444,342.3,1798.3,660.0,2997.5,2497.7,2677.6,2091.3,1018.9000000000001,2665.5,3394.3,house block,mall,1919.1999999999998,764.7,2904.7,3674.3
41,41,41,41,39.073,-77.13080556,39.06419444,-77.12419444,291.1,1525.9,627.2,2386.7,2119.4,2510.3,1518.2,819.5,1869.5,2199.1000000000004,house block,mall,1346.0,565.3,2108.6000000000004,2479.1000000000004
42,42,42,42,39.073,-77.13080556,39.07461111,-77.13763889,181.9,613.5,167.0,835.1,852.1,835.0,1433.7,674.6,3061.0,3123.9,house block,mall,2203.8999999999996,724.9,1991.2,2010.2
43,43,43,43,39.073,-77.13080556,39.07461111,-77.13763889,181.9,613.5,167.0,835.1,852.1,835.0,1433.7,674.6,3061.0,3123.9,house block,services,2203.8999999999996,724.9,1991.2,2010.2
44,44,44,44,39.073,-77.13080556,39.06436111,-77.12802778,269.7,1411.4,476.7,2020.3,1960.3,2209.8,1403.7,697.0,1796.6000000000001,1814.1000000000001,house block,services,1293.6,442.79999999999995,1949.5,2094.1000000000004
45,45,45,45,39.073,-77.13080556,39.06236111,-77.12625,287.9,1600.0,603.1,2290.6,2222.3,2434.3,1592.3,774.0999999999999,1972.3000000000002,2199.3,house block,services,1420.1,519.8,2211.5,2479.3
